业务线ID,业务线,主要数据源,替代/辅助目标,优先级,覆盖Codex开发Stage
BL-01,项目成本分析线,销售绩效考核PDF/Excel、财务费用、外协、WPS项目状态,先替代PDF/Excel抄表、成本复核、毛利分析、项目成本报告草稿,P0,"S05,S06,S09,S10"
BL-02,财务经营分析报表线,经营分析数据支撑、费用税金资产、经营情况、现金情况,替代经营周报/月报初稿、跨表汇总、老板版摘要,P1,"S13,S10"
BL-03,回款/应收/账龄线,WPS回款表、应收账龄、客户账龄、开票回款间隔分析,替代回款统计、账龄分析、催收优先级、保证金提醒,P1,"S13,S15"
BL-04,销售绩效/业务考核线,销售绩效Excel、开票金额、毛利率、回款周期、审计偏差,输出绩效事实与复核清单，不做工资最终审批,P1,S15
BL-05,资金计划/现金/贷款线,资金计划表、月度现金情况、账户清单、贷款明细,输出资金缺口、账户汇总、贷款到期提示，不做付款操作,P1,S14
BL-06,开票/纳税/税务政策线,开票计划、纳税明细、开票纳税资金汇总、研发费用,输出开票纳税证据缺口、政策材料缺口，不做正式申报,P1,S14
BL-07,外协/采购/付款归集线,外协费用支付明细、项目成本、费用明细,归集项目成本，未匹配进入未归集成本池,P1,S16
BL-08,项目交付/生产状态线,生产项目状态、开工完工、结算开票回款周期,输出项目生命周期与经营异常清单,P1,S16
BL-09,客户经营分析线,客户分析、客户账龄、项目毛利、回款情况,输出客户价值、账龄风险、回款质量,P2,S16
BL-10,财务SOP/岗位交接线,财务岗位说明、移交材料、SOP资料,作为知识材料和操作检查清单，不参与自动财务执行,P2,S17
