source_id,source_name,data_package,file_name_pattern,expected_frequency,owner_role,current_status,status_color,blocks_reports,metadata_path,evidence_required,notes
redcircle,红圈 ERP,授权与连接,redcircle_auth_manifest.json,weekly,system_admin,PARTIAL,yellow,"CEO,CFO",metadata/sources/source_registry.yaml,authorization_manifest,"待确认账号权限/API/导出能力；不得保存明文密码"
redcircle,红圈 ERP,项目主数据,redcircle_projects_YYYYMMDD.csv,weekly,CEO,READY,green,"CEO,CFO",metadata/schema_maps/redcircle_project_map.yaml,file_hash+row_count,"项目、客户、合同、进度、人材机、外协"
redcircle,红圈 ERP,本期项目进度,redcircle_progress_YYYYMMDD.csv,weekly,CEO,PARTIAL,yellow,"CEO",metadata/imports/import_runs.jsonl,file_hash+freshness,"缺本周最新进度则周报降级"
redcircle,红圈 ERP,项目成本/外协,redcircle_project_cost_YYYYMMDD.csv,weekly,CFO,MANUAL_REVIEW,purple,"CFO,Reconciliation",metadata/data_quality/validation_results.jsonl,file_hash+mapping,"成本归集需与金蝶/WPS核对"
kingdee,金蝶财务,授权与连接,kingdee_auth_manifest.json,monthly,system_admin,READY,green,"CFO,CTO",metadata/sources/source_registry.yaml,authorization_manifest,"第一阶段可先用导出文件"
kingdee,金蝶财务,科目余额表,kingdee_trial_balance_YYYYMM.xlsx,monthly,CFO,READY,green,"CFO,Reconciliation",metadata/schema_maps/kingdee_finance_map.yaml,file_hash+row_count,"支撑账面利润与科目分析"
kingdee,金蝶财务,凭证明细,kingdee_vouchers_YYYYMM.xlsx,monthly,CFO,READY,green,"CFO,Reconciliation",metadata/imports/import_runs.jsonl,file_hash+row_count,"用于费用分类和项目归集复核"
kingdee,金蝶财务,应收应付,kingdee_ar_ap_YYYYMM.xlsx,weekly,CFO,MANUAL_REVIEW,purple,"CFO,CEO",metadata/data_quality/validation_results.jsonl,file_hash+aging_check,"账龄与银行回款核销需复核"
wps,WPS 台账,授权与连接,wps_auth_manifest.json,weekly,system_admin,PARTIAL,yellow,"CEO,CFO,CTO",metadata/sources/source_registry.yaml,authorization_manifest,"支持上传优先，API 后置"
wps,WPS 台账,报价与投标,wps_quote_bid_YYYYMMDD.xlsx,weekly,CEO,READY,green,"CEO",metadata/schema_maps/wps_table_map.yaml,file_hash+mapping,"CMO 商务并入 CEO；不按广告投放建模"
wps,WPS 台账,采购/工时/临时表,wps_project_support_YYYYMMDD.xlsx,weekly,CFO,OUTDATED,black,"CFO,Reconciliation",metadata/imports/import_runs.jsonl,file_hash+freshness,"过期数据不能支撑周报结论"
wps,WPS 台账,研发项目辅助表,wps_rd_project_YYYYMM.xlsx,monthly,CTO_Tax,PARTIAL,yellow,"CTO",metadata/policies/r_and_d_expense_evidence.json,file_hash+mapping,"用于政策证据归集，不可包装造假"
bank,银行流水,授权与连接,bank_auth_manifest.json,weekly,system_admin,READY,green,"CFO",metadata/sources/source_registry.yaml,authorization_manifest,"建议只读导出，不保存网银密码"
bank,银行流水,交易流水,bank_statement_YYYYMMDD.csv,weekly,CFO,READY,green,"CFO,CEO",metadata/schema_maps/bank_statement_map.yaml,file_hash+row_count,"现金流与回款核销核心数据"
bank,银行流水,日余额,bank_daily_balance_YYYYMMDD.csv,weekly,CFO,PARTIAL,yellow,"CFO",metadata/imports/import_runs.jsonl,file_hash+freshness,"缺日余额则现金安全天数需降级"
bank,银行流水,回单/摘要,bank_receipts_YYYYMMDD.zip,monthly,CFO,MANUAL_REVIEW,purple,"CFO",metadata/lineage/evidence_index.jsonl,file_hash+evidence_index,"只保存 hash 和索引，敏感原文不上公开仓库"
