parameter_id,value,unit,status,rationale,change_control
BASE_CURRENCY,CNY,ISO-4217,ACTIVE_R2,current approved scope,versioned profile
MONEY_SCALE,2,decimal_places,ACTIVE_R2,CNY minor units,schema change
DEFAULT_ROUNDING,ROUND_HALF_UP,decimal_rounding,ACTIVE_R2,current business contract,formula profile
MONEY_DELTA_MINOR,0,minor_units,PROPOSED,one-fen gate,immutable P0
FLOAT_MONEY_PATH_ALLOWED,0,count,ACTIVE_R2,exact arithmetic,immutable P0
MONEY_DECIMAL_CONTEXT_PRECISION,38,decimal_digits,ACTIVE_R2,environment-independent Decimal context,profile and tests must change together
MONEY_MAX_INPUT_SCALE,6,decimal_places,ACTIVE_R2,allow governed sub-cent source precision while blocking malformed scale,profile and tests must change together
MONEY_MAX_ABS_MINOR_UNITS,9223372036854775807,minor_units,ACTIVE_R2,signed 64-bit interoperability ceiling,security review to increase
SOURCE_FILE_BYTES_MAX,2147483648,bytes,ACTIVE_R2,pre-reader resource ceiling,security review to increase
ARCHIVE_MEMBER_COUNT_MAX,10000,members,ACTIVE_R2_LOCAL_SECURITY_CEILING,resource control,security review to increase
ARCHIVE_TOTAL_UNCOMPRESSED_MAX,2147483648,bytes,ACTIVE_R2_LOCAL_SECURITY_CEILING,recursive resource control,security review to increase
ARCHIVE_SINGLE_MEMBER_MAX,536870912,bytes,ACTIVE_R2_LOCAL_SECURITY_CEILING,resource control,security review to increase
ARCHIVE_COMPRESSION_RATIO_MAX,200,ratio,ACTIVE_R2_LOCAL_SECURITY_CEILING,zip bomb control,security review to increase
ARCHIVE_NESTED_DEPTH_MAX,4,levels,ACTIVE_R2_LOCAL_SECURITY_CEILING,recursive archive control,security review to increase
XML_SINGLE_PART_MAX,134217728,bytes,ACTIVE_R2_LOCAL_SECURITY_CEILING,XML resource control,security review to increase
CANDIDATE_PAIR_BUDGET_MAX,1000000,pairs,ACTIVE_R7,partition before comparison and stop before global quadratic matching,performance review to increase
PERFORMANCE_REGRESSION_FACTOR_MAX,1.50,ratio,ACTIVE_R12,subsequent wall time and peak RSS ceiling relative to cold independent process,performance profile and release evidence
PERFORMANCE_COLD_PROCESS_RUNS,1,process_runs,ACTIVE_R12,one fresh process establishes the bound private snapshot baseline,release profile change review
PERFORMANCE_SUBSEQUENT_PROCESS_RUNS,3,process_runs,ACTIVE_R12,at least three fresh subsequent processes exercise same scope with full digest,release profile change review
SELECTED_SOURCE_FULL_DIGEST_PER_RUN_MAX,1,full_digest_verifications_per_source,ACTIVE_R12,each selected source reopens and full hashes once per process,immutable P0
SELECTED_MEMBER_PARSE_PER_VERIFIED_DIGEST_MAX,1,parses_per_verified_digest,ACTIVE_R12,selected workbook or archive member may be parsed at most once per verified digest,immutable P0
GLOBAL_UNPARTITIONED_MATCHING_ALLOWED,0,boolean_integer,ACTIVE_R12,global quadratic matching is forbidden,immutable P0
APPLICATION_DIGEST_CACHE_ALLOWED,0,boolean_integer,ACTIVE_R12,application cache cannot replace final source full digest,immutable P0
FINAL_GENERATION_FULL_DIGEST_REQUIRED,1,boolean_integer,ACTIVE_R12,final generating mode rehashes bound sources,immutable P0
R12_GLOBAL_INSTALL_ALLOWED,0,boolean_integer,ACTIVE_R12,global installation is a separate post R12 parity run,immutable release boundary
ARTIFACT_MAX_TEXT_BYTES,1048576,bytes,ACTIVE_R1,public boundary resource ceiling,policy and tests must change together
MANIFEST_BYTES_MAX,1048576,bytes,ACTIVE_R3,private manifest metadata ceiling,manifest parser and tests must change together
RESOLUTION_BYTES_MAX,1048576,bytes,ACTIVE_R3,private input-resolution metadata ceiling,resolution parser and tests must change together
INPUT_NO_RESPONSE_IS_PERMISSION,0,boolean_integer,ACTIVE_R3,no response is never authorization,immutable P0
INPUT_NON_WAIVABLE_OMISSION_ALLOWED,0,boolean_integer,ACTIVE_R3,non-waivable gates cannot use optional omission,immutable P0
IDENTITY_AMBIGUITY_ALLOWED,0,boolean_integer,ACTIVE_R4,identity ambiguity is a hard blocker,immutable P0
UNRESOLVED_FINAL_MAPPING_ALLOWED,0,boolean_integer,ACTIVE_R4,candidates cannot become final mappings,immutable P0
IDENTITY_EFFECTIVE_END_INCLUSIVE,1,boolean_integer,ACTIVE_R4,effective valid_to includes the stated date,policy and boundary tests must change together
IDENTITY_FUZZY_FINAL_MAPPING_ALLOWED,0,boolean_integer,ACTIVE_R4,names text and amounts are candidate-only,immutable P0
KINGDEE_READER_VERSION,2.0.0,semantic_version,ACTIVE_R5,manifest and reader profile must bind the locked implementation,reader implementation and synthetic corpus
KINGDEE_PROFILE_MAX_DATA_ROWS_CEILING,5000000,rows,ACTIVE_R5,upper resource ceiling below the XML and source-file security gates,security and performance review to increase
KINGDEE_BUNDLE_MEMBER_DISPOSITION_REQUIRED,1,boolean_integer,ACTIVE_R5,every workbook member must be explicitly included or evidence-qualified as outside scope,immutable P0
KINGDEE_BUNDLE_INCLUDED_LEGACY_XLS_ALLOWED,0,boolean_integer,ACTIVE_R5,an included legacy XLS blocks the complete ledger slot until a locked reader exists,immutable P0
KINGDEE_BUNDLE_SCRATCH_EMPTY_REQUIRED,1,boolean_integer,ACTIVE_R5,bundle extraction uses an exclusive empty private scratch directory,immutable P0
ACCOUNTING_POLICY_TEMPLATE_ACTIVE,0,boolean_integer,ACTIVE_R5,public template cannot activate real account semantics,immutable P0
ACCOUNTING_UNKNOWN_STATUS_OR_ROW_KIND_ALLOWED,0,boolean_integer,ACTIVE_R5,unknown financial semantics fail closed,immutable P0
WIP_BRIDGE_DELTA_MINOR,0,minor_units,ACTIVE_R5,both cost bases require an exact WIP bridge,immutable P0
WIP_COGS_TRANSFER_DELTA_MINOR,0,minor_units,ACTIVE_R5,5001 transfer and net 6401 recognition must reconcile,immutable P0
CLOSED_PERIOD_PRIOR_SNAPSHOT_REQUIRED,1,boolean_integer,ACTIVE_R5,late posting detection binds prior closed-period facts,immutable P0
NON_CNY_FINAL_METRIC_ALLOWED,0,boolean_integer,ACTIVE_R5,product 0.2 is CNY only,scope and model change
SKILL_COMPANY_APPROVAL_STATE_MANAGED,0,boolean_integer,ACTIVE_R5,company internal approval remains outside the Skill,immutable product boundary
REQUESTED_ACCOUNTING_SCOPE_REQUIRED,1,boolean_integer,ACTIVE_R5,only exact canonical project entity WBS contract scopes may enter a basis view,immutable P0
LIFECYCLE_READER_VERSION,2.0.0,semantic_version,ACTIVE_R6,all four R6 reader profiles and manifest locks bind this implementation,reader implementation schemas templates and tests
LIFECYCLE_PROFILE_MAX_DATA_ROWS_CEILING,5000000,rows,ACTIVE_R6,profile row ceiling remains below source and XML security gates,security and performance review to increase
LIFECYCLE_MULTI_SOURCE_SELECTION_ALLOWED,1,boolean_integer,ACTIVE_R6,invoice payment contract and collection slots may bind an explicit set of source files,manifest schema and deterministic selection tests
LIFECYCLE_AUTOMATIC_PROJECT_ASSIGNMENT_ALLOWED,0,boolean_integer,ACTIVE_R6,source keys and free text remain identity candidates until R4 resolution,immutable P0
LIFECYCLE_READER_FINAL_METRIC_INCLUSION_ALLOWED,0,boolean_integer,ACTIVE_R6,R6 emits candidates and cannot grant named Metric inclusion,immutable P0
LIFECYCLE_UNKNOWN_SEMANTICS_ALLOWED,0,boolean_integer,ACTIVE_R6,unknown headers status event types and row kinds fail closed,immutable P0
LIFECYCLE_REVERSED_EVENT_LINEAGE_REQUIRED,1,boolean_integer,ACTIVE_R6,reversed source status requires original source key and reversal date,immutable P0
EXACT_EXPORT_DUPLICATE_CONTENT_REQUIRED,1,boolean_integer,ACTIVE_R6,only equal locked-profile normalized business multisets are duplicate downloads,immutable P0
DUPLICATE_ALIAS_CHANGES_BUSINESS_FINGERPRINT,0,boolean_integer,ACTIVE_R6,another exact download alias cannot change business facts,immutable P0
SOURCE_ARITHMETIC_OVERWRITE_ALLOWED,0,boolean_integer,ACTIVE_R6,gross net tax deltas remain visible and are never silently corrected,immutable P0
CROSS_STAGE_DEDUP_ALLOWED,0,boolean_integer,ACTIVE_R7,lifecycle stages link but never deduplicate across stages,immutable P0
SIMILARITY_AUTO_LINK_APPROVAL_ALLOWED,0,boolean_integer,ACTIVE_R7,amount date counterparty document or text similarity is candidate only,immutable P0
LINK_ALLOCATION_AUTOSPREAD_ALLOWED,0,boolean_integer,ACTIVE_R7,partial allocations preserve explicit residuals and never spread automatically,immutable P0
EVENT_LINK_ALLOCATION_DELTA_MINOR,0,minor_units,ACTIVE_R7,source and target allocation magnitudes must conserve exactly,immutable P0
SOURCE_CONSERVATION_DELTA_MINOR,0,minor_units,ACTIVE_R7,included excluded pending and parse error pools equal source control,immutable P0
DUAL_CHANNEL_DELTA_MINOR,0,minor_units,ACTIVE_R7,direct included aggregation equals independent control-minus-other-pools aggregation,immutable P0
